"provision_id","norm_id","norm_title","norm_type","hierarchy_level","jurisdiction","article","provision_text","topic","actor_mentioned","power_granted","duty_created","procedure_created","coordination_mechanism","enforcement_or_sanction","rights_safeguard","budget_or_resource_implication","relevance_to_ihr","relevance_to_pandemic_agreement","source_url","version_date"
"MEX_PROV_LGS_ART013_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 13, Apartados A y B","A. Corresponde al Ejecutivo Federal, por conducto de la Secretaría de Salud: I. Dictar las normas oficiales mexicanas a que quedará sujeta la prestación, en todo el territorio nacional, de servicios de salud [...]; III. Organizar y operar [...] servicios de salud a su cargo y, en todas las materias de salubridad general, desarrollar temporalmente acciones en las entidades federativas [...]; V. Ejercer la acción extraordinaria en materia de salubridad general; VII. Coordinar el Sistema Nacional de Salud [...]. B. Corresponde a los gobiernos de las entidades federativas, en materia de salubridad general, como autoridades locales [...]: I. Organizar, operar, supervisar y evaluar la prestación de los servicios de salubridad general [...]; II. Coadyuvar a la consolidación y funcionamiento del Sistema Nacional de Salud [...]; VI. Vigilar, en la esfera de su competencia, el cumplimiento de esta Ley y demás disposiciones aplicables. [Extraction note: article has full detailed competence list A(I-X) and B(I-VIII); manual review required for full mapping]","federalism; sanitary authority; coordination; health security measures; epidemiological surveillance","Secretaría de Salud; entidades federativas","SS: issue NOMs; organize federal health services; extraordinary health action; coordinate NHS. States: organize and operate local salubridad general services; develop state health systems","SS duty to coordinate NHS and exercise extraordinary action. States duty to enforce LGS within their jurisdiction.","Coordination agreements between SS and states for temporary federal action in state territory","Bilateral SS-state coordination under concurrence framework; SS can temporarily operate in states on request","None identified","None identified","None identified","Direct — competence distribution for salubridad general determines IHR implementation architecture; federal implementation gap arises from state-level attribution of many health services","Direct — federal-state competence split is central to pandemic agreement implementation; emergency action powers under Apartado A frac. V are key","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LGS_ART015_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 15","El Consejo de Salubridad General es un órgano que depende directamente de la persona titular de la Presidencia de la República en los términos del artículo 73, fracción XVI, base 1a. de la Constitución Política de los Estados Unidos Mexicanos. El Consejo de Salubridad General está integrado por la persona titular de la Secretaría de Salud quien lo presidirá, la persona titular de la Secretaría de dicho Consejo y las personas integrantes titulares que su reglamento interior determine [...]. Las personas integrantes del Consejo contarán con derecho a voz y voto y ejercerán sus cargos a título honorífico.","sanitary authority; health authority; public health emergency","Consejo de Salubridad General; Ejecutivo Federal; Secretaría de Salud","None identified (definitional/structural)","None identified","CSG governed by its own internal regulation; Secretary of Health presides","CSG reports directly to President (not through any Secretaría)","None identified","None identified","None identified","Direct — CSG institutional structure is key for IHR emergency response governance; CSG independence from Secretarías gives it authority to coordinate across government","Direct — CSG is constitutional health emergency body directly relevant to pandemic governance","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LGS_ART017_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 17, fracciones III, IV, V, VII","Compete al Consejo de Salubridad General: [...] III. Aprobar y publicar en el Diario Oficial de la Federación, la declaratoria de emergencia y demás acuerdos que coadyuven con la Secretaría de Salud a instrumentar las acciones necesarias para enfrentar circunstancias epidemiológicas extraordinarias en el país o emergencia causada por deterioro súbito del ambiente que ponga en peligro inminente a la población; IV. Aprobar y publicar en el Diario Oficial de la Federación, la declaratoria en los casos de enfermedades graves que sean causa de emergencia o atenten contra la seguridad nacional, en la que se justifique la necesidad de atención prioritaria; V. Aprobar los acuerdos necesarios y demás disposiciones generales de observancia obligatoria en el país en materia de salubridad general, dentro del ámbito de su competencia; [...] VII. Determinar las demás enfermedades transmisibles que requieren actividades de vigilancia epidemiológica [...] (Fracciones adicionadas DOF 29-05-2023) [Extraction note: article has 17 fracciones; manual review required for full list]","public health emergency; epidemiological surveillance; notification/reporting; sanitary authority","Consejo de Salubridad General; Secretaría de Salud","CSG power to: declare health emergency (DOF); declare grave disease emergency/national security; issue mandatory dispositions nationwide; determine diseases requiring surveillance","CSG duty to publish emergency declarations in DOF; CSG duty to coordinate with SS","DOF publication required for emergency declarations and mandatory acuerdos; CSG approval mechanism","CSG-SS coordination for emergency actions","CSG acuerdos are obligatory nationwide (CPEUM Art. 73 XVI base 1a); all administrative authorities must obey","None identified","None identified","Direct — CSG emergency declaration power (fracs III, IV) is the primary domestic institutional instrument for responding to IHR-declared PHEICs; frac V mandatory dispositions support IHR health measures","Direct — CSG emergency powers are central to pandemic governance; frac VII surveillance determination power is relevant to pandemic alert systems","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LGS_ART017BIS_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 17 Bis, fracción IX","La Secretaría de Salud ejercerá las atribuciones de regulación, control, vigilancia y fomento sanitarios que conforme a la presente Ley, a la Ley Orgánica de la Administración Pública Federal y demás ordenamientos aplicables le corresponden a dicha dependencia [...] a través de un órgano desconcentrado denominado Comisión Federal para la Protección contra Riesgos Sanitarios. [...] [COFEPRIS tendrá entre sus atribuciones:] IX. Ejercer las atribuciones de sanidad internacional que le correspondan, con excepción de lo relativo a personas. [Extraction note: article has extensive fracciones I-XIII; only frac IX excerpted for IHR relevance; manual review required]","sanitary authority; points of entry; health security measures; health products","COFEPRIS; Secretaría de Salud","COFEPRIS power to exercise sanidad internacional attributions for non-persons (goods, cargo, animals, vehicles) at points of entry","None identified","None identified","Divided competence: SS/DGE for sanidad internacional for persons; COFEPRIS for non-persons","COFEPRIS sanitary control and enforcement at points of entry","None identified","None identified","Direct — COFEPRIS is IHR-relevant competent authority for goods, cargo and vehicles at ports/airports/borders (IHR Arts. 20-22, 27-28)","Indirect — COFEPRIS health product regulation relevant to supply chain and emergency authorization of countermeasures","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LGS_ART134_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 134, fracciones I-XIV","La Secretaría de Salud y los gobiernos de las entidades federativas, en sus respectivos ámbitos de competencia, realizarán actividades de vigilancia epidemiológica, de prevención y control de las siguientes enfermedades transmisibles: I. Cólera, fiebre tifoidea, paratifoidea, shigelosis, amibiasis, hepatitis virales [...]; II. Influenza epidémica, otras infecciones agudas del aparato respiratorio, infecciones meningocóccicas [...]; III. Tuberculosis; IV. Difteria, tosferina, tétanos, sarampión, poliomielitis, rubeóla y parotiditis infecciosa; [...] VI. Fiebre amarilla, dengue y otras enfermedades virales transmitidas por artrópodos; [...] XIV. Las demás que determinen el Consejo de Salubridad General y los tratados y convenciones internacionales en los que los Estados Unidos Mexicanos sean parte y que se hubieren celebrado con arreglo a las disposiciones de la Constitución Política de los Estados Unidos Mexicanos. [Extraction note: fourteen fracciones listed; only selected excerpted; manual review required for full list]","epidemiological surveillance; notification/reporting; coordination; treaties","Secretaría de Salud; entidades federativas; Consejo de Salubridad General","None identified","SS and state governments duty to conduct epidemiological surveillance, prevention and control of listed communicable diseases and any added by CSG or international treaties","None identified","Federal-state joint epidemiological surveillance activities","None identified","None identified","None identified","Direct — frac XIV explicitly incorporates IHR-listed diseases and new diseases added by international treaties; establishes statutory surveillance obligation for IHR-notifiable diseases","Direct — surveillance obligations for influenza and respiratory infections directly relevant to pandemic early warning","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LGS_ART136_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 136, fracciones I-IV","Es obligatoria la notificación a la Secretaría de Salud o a la autoridad sanitaria más cercana, de las siguientes enfermedades y en los términos que a continuación se especifican: I. Inmediatamente, en los casos individuales de enfermedades objeto del Reglamento Sanitario Internacional fiebre amarilla, peste y cólera; II. Inmediatamente, en los casos de cualquier enfermedad que se presente en forma de brote o epidemia; III. En un plazo no mayor de veinticuatro horas en los casos individuales de enfermedades objeto de vigilancia internacional: poliomielitis, meningitis meningocóccica, tifo epidémico, fiebre recurrente transmitida por piojo, influenza viral, paludismo, sarampión, tosferina, así como los de difteria y los casos humanos de encefalitis equina venezolana; IV. En un plazo no mayor de veinticuatro horas, de los primeros casos individuales de las demás enfermedades transmisibles que se presenten en un área no infectada.","notification/reporting; epidemiological surveillance; sanitary authority","Secretaría de Salud; autoridades sanitarias","None identified","Mandatory immediate notification for IHR-listed diseases (frac I); mandatory immediate notification for outbreaks/epidemics (frac II); 24-hour notification for international surveillance diseases (frac III); 24-hour notification for first cases in uninfected areas (frac IV)","Tiered mandatory notification system: immediate vs. 24-hour; notification to SS or nearest sanitary authority","None identified","None identified","None identified","None identified","Direct — Art. 136 frac. I explicitly references Reglamento Sanitario Internacional (IHR); domestic notification cascade preceding WHO notification under IHR Art. 6; immediate notification aligns with IHR timelines","Direct — mandatory notification framework is foundational for pandemic early warning; influenza notification (frac III) is key","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LGS_ART139_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 139, fracciones I-VIII","Las medidas que se requieran para la prevención y el control de las enfermedades que enumera el artículo 134 de esta Ley, deberán ser observadas por los particulares. El ejercicio de esta acción comprenderá una o más de las siguientes medidas, según el caso de que se trate: I. La confirmación de la enfermedad por los medios clínicos disponibles; II. El aislamiento, por el tiempo estrictamente necesario, de los enfermos, de los sospechosos de padecer la enfermedad y de los portadores de gérmenes [...]; III. La observación, en el grado que se requiera, de los contactos humanos y animales; IV. La aplicación de sueros, vacunas y otros recursos preventivos y terapéuticos; V. La descontaminación microbiana o parasitaria, desinfección y desinsectación [...]; VI. La destrucción o control de vectores y reservorios [...]; VII. La inspección de pasajeros que puedan ser portadores de gérmenes, así como la de equipajes, medios de transporte, mercancías y otros objetos que puedan ser fuentes o vehículos de agentes patógenos; VIII. Las demás que determine esta Ley, sus reglamentos y la Secretaría de Salud.","health security measures; epidemiological surveillance; points of entry; travellers; notification/reporting","Secretaría de Salud; autoridades sanitarias","Sanitary authorities power to order isolation, vaccination, decontamination, inspection of passengers, cargo, vehicles","Particulares must observe control measures; isolation limited to strictly necessary time","Multi-measure control protocol for listed communicable diseases","None identified","Measures binding on private parties (particulares)","Isolation only for strictly necessary time (proportionality; rights safeguard)","None identified","Direct — fracs II (isolation), VII (passenger inspection) and VII (vehicle/cargo inspection) directly implement IHR core capacities for health measures at points of entry (IHR Arts. 31-34)","Direct — frac IV (vaccination) and II (isolation) are primary pandemic response measures; frac VII (inspection) relates to cross-border health controls","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LGS_ART146_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 146","Los laboratorios que manejen agentes patógenos estarán sujetos a control por parte de la Secretaría de Salud, en los términos que establezcan las disposiciones reglamentarias y las normas oficiales mexicanas. [Extraction note: brief article; may be accompanied by further detail in regulations; manual review of regulatory development required]","laboratories; sanitary authority; health security measures","Secretaría de Salud","SS control power over all laboratories handling pathogenic agents","Laboratories handling pathogens subject to SS control; compliance with NOMs and regulations required","SS regulatory control of pathogen labs per reglamentos and NOMs","None identified","SS regulatory control (enforcement mechanism)","None identified","None identified","Direct — laboratory control is an IHR core capacity (Annex 1); biosafety and biosecurity requirements derive from this statutory base","Direct — laboratory governance is central to PABS system and pandemic agreement laboratory provisions","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LGS_ART181_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 181","En caso de epidemia de carácter grave, peligro de invasión de enfermedades transmisibles, situaciones de emergencia o catástrofe que afecten al país, la Secretaría de Salud dictará inmediatamente las medidas indispensables para prevenir y combatir los daños a la salud, a reserva de que tales medidas sean después sancionadas por el Presidente de la República.","public health emergency; sanitary authority; health security measures","Secretaría de Salud; Ejecutivo Federal","SS immediate emergency powers: dictate indispensable measures without prior presidential authorization (post-hoc sanction)","SS mandatory duty to immediately dictate measures in case of grave epidemic, disease invasion risk, emergency or catastrophe","Immediate SS action → post-hoc presidential sanction","SS-President post-hoc sanction mechanism","SS measures have immediate binding force; presidential sanction is post-hoc validation","None identified (rights constraints derive from Arts. 1o., 14, 16, 29 CPEUM)","None identified","Direct — Art. 181 is the primary domestic anchor for responding to IHR PHEIC declarations; covers 'peligro de invasión de enfermedades transmisibles' (= IHR event risk)","Direct — core emergency response power for pandemic scenarios; immediate action without prior authorization mirrors IHR urgency requirements","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LGS_ART184_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 184, fracciones I-V","La acción extraordinaria en materia de salubridad general será ejercida por la Secretaría de Salud, la que deberá integrar y mantener permanentemente capacitadas y actualizadas brigadas especiales que actuarán bajo su dirección y responsabilidad y tendrán las atribuciones siguientes: I. Encomendar a las autoridades federales, estatales y municipales, así como a los profesionales, técnicos y auxiliares de las disciplinas para la salud, el desempeño de las actividades que estime necesarias [...]; II. Dictar medidas sanitarias relacionadas con reuniones de personas, entrada y salida de ellas en las poblaciones y con los regímenes higiénicos especiales que deban implantarse; III. Regular el tránsito terrestre, marítimo y aéreo, así como disponer libremente de todos los medios de transporte de propiedad del estado y de servicio público [...]; IV. Utilizar libre y prioritariamente los servicios telefónicos, telegráficos y de correos, así como las transmisiones de radio y televisión; V. Las demás que determine la propia Secretaría.","public health emergency; health security measures; points of entry; travellers; coordination","Secretaría de Salud; autoridades sanitarias; entidades federativas; municipios","SS extraordinary powers: command all levels of authority; regulate gatherings and movement; control all transport; use all communications; maintain trained special brigades","SS duty to maintain permanently trained and updated special brigades","Extraordinary action activated by prior declaration under Arts. 181-183","SS commands federal, state and municipal authorities during extraordinary action; cross-sector use of transport and communications","SS can command all federal and subnational authorities; measures binding on all levels","None identified (rights constraints from CPEUM; proportionality must apply)","Free priority use of public transport and communications implies budget/resource authority","Direct — Art. 184 fracs II and III directly implement IHR health measure powers at points of entry (transport control, movement restrictions); most explicit domestic anchor for IHR emergency health measures","Direct — extraordinary action powers are the broadest pandemic response toolkit; covers cross-border transport, communications and multi-level government command","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LGS_ART351_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 351","Los servicios de sanidad internacional se regirán por las disposiciones de esta Ley, sus reglamentos y las normas oficiales mexicanas que emita la Secretaría de Salud, así como por los tratados y convenciones internacionales en los que los Estado Unidos Mexicanos sean parte y que se hubieren celebrado con arreglo a las disposiciones de la Constitución Política de los Estados Unidos Mexicanos.","sanidad internacional; treaties; legal hierarchy; points of entry","Secretaría de Salud","None identified","None identified","Sanidad internacional services governed by hierarchy: LGS + reglamentos + NOMs + international treaties","Explicit incorporation of international treaties (including IHR) into sanidad internacional legal framework","None identified","None identified","None identified","Direct — Art. 351 is the statutory gateway clause explicitly incorporating IHR into Mexican sanidad internacional law; direct treaty reception for health purposes","Direct — pandemic agreement will be incorporated through this clause once approved; establishes treaty-statute relationship for health services","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LGS_ART352_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 352","La Secretaría de Salud operará los servicios de sanidad internacional, tanto los de carácter migratorio como los relacionados con los puertos marítimos de altura, los aeropuertos, las poblaciones fronterizas y los demás lugares legalmente autorizados para el tránsito internacional de personas y carga.","sanidad internacional; points of entry; travellers; coordination","Secretaría de Salud; INM","SS operational mandate for all international sanitary services at maritime ports, airports, border communities and authorized international transit points","SS duty to operate sanidad internacional services at all points of entry","None identified","SS-INM coordination implied (migration + sanitary services at same points of entry)","None identified","None identified","Operational budget required for permanent presence at all points of entry","Direct — Art. 352 is the statutory competence base for IHR designated ports of entry (Art. 19-22 IHR); SS mandated to operate at all international transit points","Direct — port/airport presence is prerequisite for pandemic alert and response at borders","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LGS_ART359_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 359","La Secretaría de Salud notificará a la Organización Mundial de la Salud de todas medidas que haya adoptado, de modo temporal o permanente, en materia de sanidad internacional. Asimismo, informará a esta misma organización y con la oportunidad debida, sobre cualquier caso que sea de interés en la vigilancia epidemiológica de las enfermedades que se citan en el Reglamento Sanitario Internacional, las que puedan originar epidemias o cualesquiera otras que considere de importancia notificar.","notification/reporting; sanidad internacional; epidemiological surveillance; treaties","Secretaría de Salud","None identified","SS statutory duty to notify WHO of: all sanidad internacional measures (temporary or permanent); IHR-listed disease cases; potential epidemic diseases; other events of notifiable importance","Notification to WHO 'with due opportunity' for epidemiological surveillance information; notification of all sanitary measures adopted","SS-WHO direct notification channel (statutory basis)","None identified","None identified","None identified","Direct — Art. 359 is the statutory domestic anchor for IHR Art. 6 (State notification obligation to WHO); explicitly references Reglamento Sanitario Internacional","Direct — WHO notification duty is core to pandemic early warning system; this article provides statutory basis for notification channel","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LOAPF_ART001_001","MEX-009","Ley Orgánica de la Administración Pública Federal","organic law","4_federal_or_national_law","federal","Artículo 1o.","La presente Ley establece las bases de organización de la Administración Pública Federal, centralizada y paraestatal. La Oficina de la Presidencia de la República, las Secretarías de Estado y la Consejería Jurídica del Ejecutivo Federal, integran la Administración Pública Centralizada.","institutional architecture; administrative legality","Administración Pública Federal; Secretarías de Estado; Presidencia de la República","establece bases de organización de la Administración Pública Federal centralizada y paraestatal","","","","","","no","Moderate — defines institutional architecture of federal administration within which IHR competent authorities and NFP operate","Moderate — foundational institutional framework for pandemic coordination structures","https://www.diputados.gob.mx/LeyesBiblio/pdf/153.pdf","2025-07-16"
"MEX_PROV_LOAPF_ART026_001","MEX-009","Ley Orgánica de la Administración Pública Federal","organic law","4_federal_or_national_law","federal","Artículo 26","Para el despacho de los asuntos del orden administrativo, el Poder Ejecutivo de la Unión contará con las siguientes Secretarías: [Extraction note: enumeration includes Secretaría de Gobernación, Secretaría de Relaciones Exteriores, Secretaría de Salud, and other secretariats; full enumeration omitted for brevity]","institutional architecture; competence distribution","Poder Ejecutivo; Secretaría de Gobernación; Secretaría de Relaciones Exteriores; Secretaría de Salud","establece las secretarías de Estado que integran la Administración Pública Federal centralizada","","","","","","no","Moderate — lists the Secretarías competent for IHR-related functions (SS, SRE, SEMARNAT, etc.)","Moderate — identifies institutional actors in the whole-of-government framework required by pandemic agreement","https://www.diputados.gob.mx/LeyesBiblio/pdf/153.pdf","2025-07-16"
"MEX_PROV_LOAPF_ART028_001","MEX-009","Ley Orgánica de la Administración Pública Federal","organic law","4_federal_or_national_law","federal","Artículo 28","A la Secretaría de Relaciones Exteriores le corresponde el despacho de los siguientes asuntos: I.- Promover, propiciar y asegurar la coordinación de acciones en el exterior de las dependencias y entidades de la Administración Pública Federal; y sin afectar el ejercicio de las atribuciones que a cada una de ellas corresponda, conducir la política exterior, para lo cual intervendrá en toda clase de tratados, acuerdos y convenciones en los que el país sea parte; [...] III. Intervenir en lo relativo a comisiones, congresos, conferencias y exposiciones internacionales, y representar a México ante organismos e institutos internacionales sin perjuicio de la competencia de otras dependencias de la Administración Pública Federal. [Extraction note: fracciones I, III selected; full enumeration omitted]","international relations; treaty coordination; institutional competence","Secretaría de Relaciones Exteriores; Administración Pública Federal","conducir la política exterior; intervenir en tratados, acuerdos y convenciones internacionales; representar a México ante organismos internacionales","asegurar la coordinación de acciones en el exterior de las dependencias federales","","SRE coordina actuación exterior de todas las dependencias federales en materia de tratados internacionales","","","no","High — SRE competence to represent Mexico before WHO and intervene in IHR treaty process; NFP coordination with SRE","High — SRE role in pandemic agreement negotiation, signature and interinstitutional coordination","https://www.diputados.gob.mx/LeyesBiblio/pdf/153.pdf","2025-07-16"
"MEX_PROV_LOAPF_ART039_001","MEX-009","Ley Orgánica de la Administración Pública Federal","organic law","4_federal_or_national_law","federal","Artículo 39","A la Secretaría de Salud le corresponde el despacho de los siguientes asuntos: I. Elaborar y conducir la política nacional en materia de salud pública, asistencia social, prevención, atención a la salud y salubridad general y coordinar los programas de servicios a la salud de la Administración Pública Federal; [...] V. Planear, normar, coordinar y evaluar el Sistema Nacional de Salud y proveer la adecuada participación de las dependencias y entidades públicas que presten servicios de salud, a fin de asegurar el cumplimiento del derecho a la protección de la salud. [Extraction note: fracciones I, V selected as most IHR-relevant; full enumeration omitted]","health governance; institutional competence; salubridad general","Secretaría de Salud; Sistema Nacional de Salud; Administración Pública Federal","elaborar y conducir política nacional de salud pública y salubridad general; planear, normar, coordinar y evaluar el Sistema Nacional de Salud","coordinar programas de servicios a la salud; asegurar cumplimiento del derecho a la protección de la salud","","SS coordina dependencias y entidades públicas prestadoras de servicios de salud","","protección del derecho a la salud (Art. 4 CPEUM)","no","High — SS is the primary competent authority for IHR; fracs. I and V establish normative and coordination mandate","High — SS leadership role in national health policy and National Health System directly relevant to whole-of-government pandemic response","https://www.diputados.gob.mx/LeyesBiblio/pdf/153.pdf","2025-07-16"
"MEX_PROV_LOAPF_ART039_002","MEX-009","Ley Orgánica de la Administración Pública Federal","organic law","4_federal_or_national_law","federal","Artículo 39","A la Secretaría de Salud le corresponde el despacho de los siguientes asuntos: [...] XVI. Estudiar, adaptar, promover y poner en vigor las medidas necesarias, contra las enfermedades transmisibles y no transmisibles, así como las situaciones sociales en materia de salud y adicciones que afectan a la salud física y mental de las personas; [...] XXI. Actuar como autoridad sanitaria, ejercer las facultades de salubridad general que las leyes le confieren al Ejecutivo Federal, vigilar el cumplimiento de la Ley General de Salud, sus reglamentos y demás disposiciones aplicables y ejercer la acción extraordinaria en la materia. [Extraction note: fracciones XVI, XXI selected; other fracciones omitted]","disease control; sanitary authority; extraordinary health action","Secretaría de Salud","poner en vigor medidas contra enfermedades transmisibles y no transmisibles; actuar como autoridad sanitaria; ejercer acción extraordinaria en materia de salubridad","vigilar el cumplimiento de la LGS, sus reglamentos y demás disposiciones aplicables","","","SS ejerce acción extraordinaria en materia de salubridad general","","no","High — frac. XXI establishes SS as sanitary authority with power to exercise extraordinary health action corresponding to IHR emergency measures","High — power to adopt measures against transmissible diseases and exercise extraordinary health powers directly supports pandemic response mandate","https://www.diputados.gob.mx/LeyesBiblio/pdf/153.pdf","2025-07-16"
"MEX_PROV_RISI_ART001_001","MEX-016","Reglamento de la Ley General de Salud en Materia de Sanidad Internacional","regulation","5_regulation","federal","Artículo 1o.","El presente Reglamento es de observancia general en toda la República, sus disposiciones son de orden público e interés social y tiene por objeto proveer, en la esfera administrativa, a la observancia de la Ley General de Salud en lo que se refiere a Sanidad internacional.","international sanitary control; scope and purpose","Secretaría de Salud","","proveer observancia de la Ley General de Salud en materia de sanidad internacional","","","","","no","High — primary regulatory instrument for international sanitary control; directly implements IHR port-of-entry and border health obligations","High — operational framework for border health control applicable in pandemic context","https://www.diputados.gob.mx/LeyesBiblio/pdf/ReglLGSMSI.pdf","1985-02-18"
"MEX_PROV_RISI_ART002_001","MEX-016","Reglamento de la Ley General de Salud en Materia de Sanidad Internacional","regulation","5_regulation","federal","Artículo 2o.","La aplicación de este Reglamento compete a la Secretaria de Salud, sin perjuicio de las atribuciones que correspondan a las Secretarías de Gobernación, Relaciones Exteriores, Marina, Agricultura y Recursos Hidráulicos, Comunicaciones y Transportes y a otras dependencias del Ejecutivo Federal. La Secretaría de salud tendrá a su cargo la operación de los servicios de Sanidad internacional, tanto los de carácter migratorio como los relacionados con los puertos marítimos, los puestos fronterizos y los demás lugares legalmente autorizados para el tránsito internacional de personas y de carga.","institutional competence; interinstitutional coordination; ports and border points","Secretaría de Salud; Secretaría de Gobernación; Secretaría de Relaciones Exteriores; Secretaría de Marina; Secretaría de Comunicaciones y Transportes","SS tiene a su cargo la operación de los servicios de sanidad internacional en puertos, fronteras y lugares autorizados para tránsito internacional","","","aplicación compartida entre SS y otras secretarías (Gobernación, SRE, Marina, SCT); SS lidera servicios operativos","","","no","High — designates SS as operator of international sanitary services at points of entry; maps to IHR Art. 19-22 core capacities at PoE","High — multi-sectoral coordination at ports of entry relevant to pandemic border management","https://www.diputados.gob.mx/LeyesBiblio/pdf/ReglLGSMSI.pdf","1985-02-18"
"MEX_PROV_RISI_ART003_001","MEX-016","Reglamento de la Ley General de Salud en Materia de Sanidad Internacional","regulation","5_regulation","federal","Artículo 3o.","Los servicios de Sanidad Internacional se regirán por las disposiciones de la Ley General de Salud, sus reglamentos y las normas técnicas que emita la Secretaría de Salud, las que se publicarán en el Diario Oficial de la Federación y en la Gaceta Sanitaria, así como por los tratados y convenciones internacionales.","normative hierarchy; treaty application; international sanitary services","Secretaría de Salud","SS emite normas técnicas publicadas en DOF y Gaceta Sanitaria para servicios de sanidad internacional","servicios de sanidad internacional se rigen también por tratados y convenciones internacionales","publicación en DOF y Gaceta Sanitaria de normas técnicas aplicables","","","","no","High — explicitly subjects international sanitary services to international treaties and conventions, incorporating IHR 2005 as operative norm","High — same clause would incorporate pandemic agreement obligations into the operational framework of international sanitary services","https://www.diputados.gob.mx/LeyesBiblio/pdf/ReglLGSMSI.pdf","1985-02-18"
"MEX_PROV_RISI_ART006_001","MEX-016","Reglamento de la Ley General de Salud en Materia de Sanidad Internacional","regulation","5_regulation","federal","Artículo 6o.","La Secretaría podrá impedir o restringir la entrada o salida de todo tipo de vehículos, personas y carga, cuando se demuestre que representen o constituyan un riesgo para la salud de la población.","entry and exit restrictions; health emergency measures","Secretaría de Salud","impedir o restringir entrada o salida de vehículos, personas y carga cuando representen riesgo para la salud","","","","poder de impedir o restringir movimiento internacional cuando hay riesgo sanitario demostrado","","no","High — health-based entry/exit restrictions correspond directly to IHR Art. 43 measures; requires IHR compliance analysis for proportionality and non-discrimination","High — travel-related public health measures in pandemic context require IHR/pandemic agreement compliance","https://www.diputados.gob.mx/LeyesBiblio/pdf/ReglLGSMSI.pdf","1985-02-18"
"MEX_PROV_RISI_ART011_001","MEX-016","Reglamento de la Ley General de Salud en Materia de Sanidad Internacional","regulation","5_regulation","federal","Artículo 11","La información epidemiológica internacional que dé a conocer la Secretaría, tendrá como base la información que proporcione el Boletín Epidemiológico Nacional, la Organización Mundial de la Salud y demás organismos internacionales. La información a que se refiere el párrafo anterior, se obtendrá y difundirá a través de los sistemas que determine la Secretaría.","epidemiological information; WHO coordination; surveillance","Secretaría de Salud; Organización Mundial de la Salud","SS determina sistemas de obtención y difusión de información epidemiológica internacional","información epidemiológica internacional se basa en Boletín Epidemiológico Nacional y datos de OMS y organismos internacionales","sistemas de información determinados por SS para obtención y difusión de datos epidemiológicos internacionales","vínculo entre SS y OMS para información epidemiológica internacional","","","no","High — WHO data integration in national epidemiological information; supports IHR Art. 11 information sharing obligations","High — foundation for international epidemiological data exchange in pandemic surveillance framework","https://www.diputados.gob.mx/LeyesBiblio/pdf/ReglLGSMSI.pdf","1985-02-18"
